"(N_r,N_c)",I,m,hat n,transformation,quantization,encoding,mapping,seed,w,nmse_ppst_10
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 1, 1)",1.0311054389282748
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 1, 2)",1.0401269266086068
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 2, 0)",1.0453445175392544
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 2, 1)",1.042275587530703
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 2, 2)",1.0484584856144483
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 0, 0)",1.0406082490190904
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 0, 1)",1.031573896409084
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 0, 2)",1.0423602677386774
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 1, 0)",1.0183084493283785
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 1, 1)",1.0156849228888656
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 1, 2)",1.036397348144697
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 2, 0)",1.0327594359313952
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 2, 1)",1.0371676096199538
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 2, 2)",1.0285532282280785
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 0, 0)",0.7272678068251082
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 0, 1)",1.0402878383729257
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 0, 2)",1.021688383938522
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 1, 0)",1.033011086297873
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 1, 1)",1.0362828373346475
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 1, 2)",1.051880636079008
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 2, 0)",1.032985910258306
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 2, 1)",1.0270393504223063
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 2, 2)",1.0131337206023727
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 0, 0)",1.0396961099632245
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 0, 1)",1.0499959336061284
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 0, 2)",1.062577406605185
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 1, 0)",1.0507022738111509
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 1, 1)",1.0468707518304308
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 1, 2)",1.0267319883920856
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 2, 0)",1.034329004153555
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 2, 1)",1.014658006497785
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 2, 2)",1.0316848576704194
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 0, 0)",1.0508518692900632
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 0, 1)",1.0317776926775863
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 0, 2)",1.0202383155117287
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 1, 0)",1.035614660904984
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 1, 1)",1.0437211517534946
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 1, 2)",1.0314662677298123
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 2, 0)",1.0454108707522674
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 2, 1)",1.038788415218298
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 2, 2)",1.0230804954995802
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 0, 0)",1.0376136130906963
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 0, 1)",1.0280927102566673
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 0, 2)",1.0297008750017589
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 1, 0)",1.016753802065496
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 1, 1)",1.0340075518376242
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 1, 2)",1.0315807966302517
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 2, 0)",1.021490043363661
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 2, 1)",1.046184153775961
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 2, 2)",1.0203523048808134
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 0, 0)",1.0467843371204388
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 0, 1)",1.0441111819390487
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 0, 2)",1.0398863823189777
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 1, 0)",1.0329650912681487
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 1, 1)",1.0326124563265031
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 1, 2)",1.0418075584464566
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 2, 0)",1.034561136920097
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 2, 1)",1.0430938682762696
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 2, 2)",1.0340063297533302
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 0, 0)",1.030146287644947
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 0, 1)",1.058157963052576
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 0, 2)",1.0307430371806376
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 1, 0)",1.0299091404308096
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 1, 1)",1.0378395777387672
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 1, 2)",1.0465112784277444
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 2, 0)",1.0485429014124568
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 2, 1)",1.0583262704965748
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 2, 2)",1.0106070966471177
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 0, 0)",1.046209819644276
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 0, 1)",1.0363867339994806
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 0, 2)",1.0444240066096788
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 1, 0)",1.027470492594474
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 1, 1)",1.0540580857822377
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 1, 2)",1.0374339713416871
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 2, 0)",1.0082006325778214
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 2, 1)",1.0326303619401995
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 2, 2)",1.027248299664422
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1, 0, 0)",1.0493809221852253
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1, 0, 1)",1.023337449466505
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1, 0, 2)",1.0388312451373822
